,iso_code,Continent,location,Total Cases per Million,Total Deaths per Million,population_density
382,AFG,Asia,Afghanistan,1437.487,63.039,54.422
1158,ALB,Europe,Albania,40351.31,701.23,104.871
1540,DZA,Africa,Algeria,2622.697,69.12,17.348
1916,AND,Europe,Andorra,144942.73,1449.557,163.755
2274,AGO,Africa,Angola,647.016,15.791,23.89
2662,ATG,North America,Antigua and Barbuda,9649.947,255.29,231.845
3099,ARG,South America,Argentina,48361.753,1185.465,16.177
3476,ARM,Asia,Armenia,59767.133,1094.412,102.931
4304,AUS,Oceania,Australia,1141.652,35.647,3.202
4686,AUT,Europe,Austria,54188.355,980.525,106.749
5063,AZE,Asia,Azerbaijan,23567.894,322.314,119.309
5425,BHS,North America,Bahamas,22016.641,470.441,39.497
5808,BHR,Asia,Bahrain,76296.601,282.09,1935.907
6183,BGD,Asia,Bangladesh,3371.328,51.703,1265.036
6544,BRB,North America,Barbados,11800.077,128.753,664.463
6923,BLR,Europe,Belarus,31763.764,219.91,46.858
7326,BEL,Europe,Belgium,69175.976,1932.506,375.564
7681,BLZ,North America,Belize,31110.027,794.727,16.426
8043,BEN,Africa,Benin,536.245,6.681,99.11
8475,BTN,Asia,Bhutan,1124.918,1.296,21.188
8842,BOL,South America,Bolivia,22129.989,1022.014,10.202
9215,BIH,Europe,Bosnia and Herzegovina,43330.697,1659.953,68.496
9563,BWA,Africa,Botswana,14499.761,180.301,4.044
9944,BRA,South America,Brazil,53459.784,1294.25,25.04
10313,BRN,Asia,Brunei,438.874,6.857,81.347
10683,BGR,Europe,Bulgaria,39700.825,1611.296,65.18
11051,BFA,Africa,Burkina Faso,588.664,6.889,70.151
11398,BDI,Africa,Burundi,203.519,0.252,423.062
11809,KHM,Asia,Cambodia,75.603,0.06,90.672
12181,CMR,Africa,Cameroon,1530.257,22.64,50.885
12593,CAN,North America,Canada,24080.606,593.421,4.037
12951,CPV,Africa,Cape Verde,28752.419,278.783,135.58
13384,CAF,Africa,Central African Republic,1040.009,13.044,7.479
13743,TCD,Africa,Chad,260.199,9.254,11.833
14127,CHL,South America,Chile,46007.292,1122.137,24.282
14543,CHN,Asia,China,70.375,3.362,147.674
14915,COL,South America,Colombia,45096.048,1197.849,44.223
15232,COM,Africa,Comoros,4160.558,167.894,437.352
15595,COG,Africa,Congo,1690.621,23.74,15.405
15967,CRI,North America,Costa Rica,41045.999,561.825,96.079
16334,CIV,Africa,Cote d'Ivoire,1395.997,7.999,76.399
16716,HRV,Europe,Croatia,60814.787,1375.55,73.726
17082,CUB,North America,Cuba,5290.106,32.225,110.408
17451,CYP,Europe,Cyprus,44387.538,271.721,127.657
17832,CZE,Europe,Czechia,128583.464,2135.124,137.176
18199,COD,Africa,Democratic Republic of Congo,299.75,7.95,35.879
18604,DNK,Europe,Denmark,37981.404,412.278,136.52
18964,DJI,Africa,Djibouti,6311.728,63.765,41.285
19697,DOM,North America,Dominican Republic,22626.675,296.186,222.873
20074,ECU,South America,Ecuador,16959.416,917.811,66.939
20467,EGY,Africa,Egypt,1853.13,109.582,97.999
20826,SLV,North America,El Salvador,9550.583,299.096,307.811
21189,GNQ,Africa,Equatorial Guinea,4601.617,69.851,45.194
21546,ERI,Africa,Eritrea,856.637,1.974,44.304
21928,EST,Europe,Estonia,62030.592,523.92,31.033
22292,SWZ,Africa,Eswatini,14847.039,568.023,79.492
22657,ETH,Africa,Ethiopia,1501.093,21.833,104.957
23954,FJI,Oceania,Fiji,73.624,2.231,49.562
24363,FIN,Europe,Finland,11788.183,141.859,18.136
24777,FRA,Europe,France,62440.872,1381.985,122.578
25141,GAB,Africa,Gabon,7485.191,43.132,7.859
25502,GMB,Africa,Gambia,2043.726,63.31,207.566
25883,GEO,Asia,Georgia,68780.387,910.965,65.032
26294,DEU,Europe,Germany,30546.377,875.442,237.016
26658,GHA,Africa,Ghana,2791.399,21.112,126.719
27105,GRC,Europe,Greece,20820.957,670.245,83.479
27495,GRD,North America,Grenada,1315.333,8.887,317.132
27885,GTM,North America,Guatemala,10157.312,365.381,157.834
28288,GIN,Africa,Guinea,1339.548,7.767,51.755
28641,GNB,Africa,Guinea-Bissau,1726.628,26.423,66.191
29007,GUY,South America,Guyana,11529.968,261.9,3.952
29365,HTI,North America,Haiti,1107.824,22.013,398.448
29732,HND,North America,Honduras,17887.432,436.665,82.805
30198,HUN,Europe,Hungary,51569.871,1721.159,108.043
30579,ISL,Europe,Iceland,17793.407,84.982,3.404
30987,IND,Asia,India,8212.82,114.816,450.419
31363,IDN,Asia,Indonesia,5155.438,139.765,145.725
32151,IRN,Asia,Iran,20615.515,727.073,49.831
32534,IRQ,Asia,Iraq,18652.842,340.506,88.125
32916,IRL,Europe,Ireland,45732.955,914.983,69.874
33354,ISR,Asia,Israel,94297.745,690.887,402.606
33761,ITA,Europe,Italy,52525.818,1679.804,205.859
34128,JAM,North America,Jamaica,9924.148,162.099,266.879
34544,JPN,Asia,Japan,3518.26,67.325,347.778
34962,JOR,Asia,Jordan,45560.092,511.999,109.285
35327,KAZ,Asia,Kazakhstan,14505.472,169.998,6.681
35699,KEN,Africa,Kenya,2081.687,35.353,87.324
36063,OWID_KOS,Europe,Kosovo,39357.938,873.356,168.155
36446,KWT,Asia,Kuwait,48529.667,270.69,232.128
36806,KGZ,Asia,Kyrgyzstan,13307.09,226.848,32.333
37542,LVA,Europe,Latvia,49255.594,925.67,31.212
37928,LBN,Asia,Lebanon,60338.803,773.283,594.561
38232,LSO,Africa,Lesotho,4914.455,144.241,73.562
38594,LBR,Africa,Liberia,401.37,16.806,49.127
38968,LBY,Africa,Libya,20904.817,341.712,3.623
39342,LIE,Europe,Liechtenstein,68201.484,1442.169,237.012
39721,LTU,Europe,Lithuania,75067.654,1239.03,45.135
40104,LUX,Europe,Luxembourg,91861.349,1087.901,231.447
40495,MDG,Africa,Madagascar,727.853,10.834,43.951
40844,MWI,Africa,Malawi,1711.766,56.404,197.519
41257,MYS,Asia,Malaysia,9915.931,37.169,96.254
41627,MDV,Asia,Maldives,39556.593,118.4,1454.433
41980,MLI,Africa,Mali,435.192,17.777,15.196
42381,MLT,Europe,Malta,58814.737,783.623,1454.037
42881,MRT,Africa,Mauritania,3744.36,95.061,4.289
43241,MUS,Africa,Mauritius,559.065,7.863,622.962
43678,MEX,North America,Mexico,16735.631,1503.505,66.444
44099,MDA,Europe,Moldova,50052.269,1055.538,123.655
44477,MCO,Europe,Monaco,53434.92,688.003,19347.5
44845,MNG,Asia,Mongolia,1169.206,1.22,1.98
45206,MNE,Europe,Montenegro,131531.6,1778.487,46.28
45622,MAR,Africa,Morocco,13226.053,236.138,80.08
45978,MOZ,Africa,Mozambique,2047.772,23.004,37.728
46329,MMR,Asia,Myanmar,2612.066,58.831,81.721
46693,NAM,Africa,Namibia,16061.137,179.463,3.078
47106,NPL,Asia,Nepal,9442.283,103.374,204.43
47489,NLD,Europe,Netherlands,67720.374,942.697,508.544
47868,NZL,Oceania,New Zealand,502.257,5.392,18.206
48227,NIC,North America,Nicaragua,986.783,26.417,51.667
48585,NER,Africa,Niger,200.482,7.436,16.955
48964,NGA,Africa,Nigeria,777.784,9.746,209.588
49761,MKD,Europe,North Macedonia,53315.766,1574.365,82.6
50154,NOR,Europe,Norway,14562.346,117.87,14.462
50950,OMN,Asia,Oman,28444.831,313.319,14.98
51332,PAK,Asia,Pakistan,2727.736,61.007,255.573
51705,PSE,Asia,Palestine,40312.729,436.741,778.202
52074,PAN,North America,Panama,80473.852,1386.17,55.133
52432,PNG,Oceania,Papua New Guinea,203.308,2.347,18.22
52803,PRY,South America,Paraguay,24899.019,481.736,17.144
53175,PER,South America,Peru,42295.812,1470.467,25.129
53583,PHL,Asia,Philippines,5581.419,115.841,351.873
53957,POL,Europe,Poland,49364.983,1234.563,124.027
54338,PRT,Europe,Portugal,79746.53,1632.88,112.371
54716,QAT,Asia,Qatar,58757.541,91.98,227.322
55097,ROU,Europe,Romania,44202.935,1110.321,85.129
55504,RUS,Europe,Russia,29613.211,614.666,8.823
55868,RWA,Africa,Rwanda,1548.539,21.232,494.869
56586,LCA,North America,Saint Lucia,21723.148,261.397,293.187
56950,VCT,North America,Saint Vincent and the Grenadines,15088.285,72.107,281.787
57445,SMR,Europe,San Marino,120690.671,2268.843,556.667
57786,STP,Africa,Sao Tome and Principe,9385.794,146.011,212.841
58162,SAU,Asia,Saudi Arabia,10964.252,188.316,15.322
58541,SEN,Africa,Senegal,2184.015,56.797,82.328
58922,SRB,Europe,Serbia,74649.399,686.301,80.291
59286,SYC,Africa,Seychelles,32265.609,162.701,208.354
59633,SLE,Africa,Sierra Leone,493.169,9.903,104.7
60048,SGP,Asia,Singapore,10269.483,4.957,7915.731
60420,SVK,Europe,Slovakia,61152.716,1528.671,113.128
60825,SVN,Europe,Slovenia,95724.151,1888.47,102.619
61339,SOM,Africa,Somalia,554.954,21.267,23.5
61739,ZAF,Africa,South Africa,25744.507,862.926,46.754
62541,KOR,Asia,South Korea,1856.398,32.515,527.967
63289,ESP,Europe,Spain,68093.654,1545.468,93.105
63700,LKA,Asia,Sri Lanka,4076.261,24.518,341.955
64066,SDN,Africa,Sudan,704.071,44.242,23.258
64430,SUR,South America,Suriname,15362.219,300.017,3.612
64836,SWE,Europe,Sweden,70552.327,1301.678,24.718
65250,CHE,Europe,Switzerland,65935.319,1167.469,214.243
66345,TJK,Asia,Tajikistan,1395.313,9.436,64.281
66707,TZA,Africa,Tanzania,8.521,0.352,64.699
67141,THA,Asia,Thailand,382.221,1.218,135.132
67871,TGO,Africa,Togo,960.654,11.234,143.366
68235,TTO,North America,Trinidad and Tobago,5544.159,100.036,266.886
68609,TUN,Africa,Tunisia,20359.149,704.736,74.228
