Column1,Column2,Column3
—,World,"10,673"
1,Luxembourg,"109,602"
10,Australia,"51,885"
100,Bosnia and Herzegovina,"4,721"
101,Jordan,"4,438"
102,Georgia,"4,405"
103,Fiji,"4,371"
104,Armenia,"4,315"
105,Moldova,"4,268"
106,Guatemala,"4,240"
107,Suriname,"4,199"
108,Iraq,"4,174"
109,Kosovo,"4,141"
11,Netherlands,"51,290"
110,Tuvalu,"4,091"
111,Samoa,"4,084"
112,Marshall Islands,"4,071"
113,Namibia,"4,052"
114,Indonesia,"4,038"
115,Mongolia,"3,990"
116,Micronesia,"3,855"
117,El Salvador,"3,821"
118,Belize,"3,734"
119,Bhutan,"3,698"
12,Sweden,"50,339"
120,Egypt,"3,561"
121,Vietnam,"3,498"
122,Philippines,"3,431"
123,Ukraine,"3,425"
124,Eswatini,"3,415"
125,Sri Lanka,"3,373"
126,Cape Verde,"3,358"
127,Algeria,"3,331"
128,Bolivia,"3,322"
129,Tunisia,"3,295"
13,Austria,"48,634"
130,Libya,"3,282"
131,Morocco,"3,121"
132,Vanuatu,"2,879"
133,Lebanon,"2,745"
134,Papua New Guinea,"2,652"
135,Laos,"2,567"
136,Venezuela,"2,412"
137,Senegal,"2,367"
138,Côte d'Ivoire,"2,281"
139,Ghana,"2,188"
14,Finland,"48,461"
140,Nigeria,"2,149"
141,"Congo, Republic of the","2,128"
142,Bangladesh},"2,075 [6]"
143,Angola,"2,064"
144,Cambodia,"2,063"
145,Cameroon,"2,021"
146,São Tomé and Príncipe,"1,912"
147,Honduras,"1,888"
148,India,"1,877[7]"
149,Nicaragua,"1,791"
15,Germany,"45,466"
150,Myanmar,"1,877"
151,Uzbekistan,"1,763"
152,Pakistan,"1,739"
153,Kiribati,"1,638"
154,Solomon Islands,"1,572"
155,Mauritania,"1,493"
156,East Timor,"1,456"
157,Senegal,"1,455"
158,Comoros,"1,337"
159,Nepal,"1,333"
16,Hong Kong,"45,176"
160,Benin,"1,259"
161,Kyrgyzstan,"1,148"
162,Pakistan,"1,116"
163,Tanzania,"1,106"
164,Guinea,"1,019"
165,Zambia,"1,001"
166,Ethiopia,974
167,Lesotho,924
168,Zimbabwe,922
169,Uganda,915
17,Belgium,"43,814"
170,Mali,899
171,Tajikistan,834
172,Rwanda,823
173,Burkina Faso,769
174,Guinea-Bissau,767
175,"Gambia, The",746
176,Sudan,735
177,Haiti,732
178,Togo,690
179,Liberia,654
18,Canada,"42,080"
180,Yemen,645
181,Chad,640
182,Eritrea,585
183,Niger,536
184,Sierra Leone,518
185,Madagascar,515
186,Central African Republic,480
187,"Congo, Democratic Republic of the",457
188,Mozambique,455
189,Malawi,399
19,San Marino,"41,683"
190,Burundi,264
2,Switzerland,"81,867"
20,Israel,"41,560"
21,France,"39,257"
22,United Kingdom,"39,229"
23,Japan,"39,048"
24,Macau,"38,769"
25,New Zealand,"38,675"
26,United Arab Emirates,"31,948"
27,Italy,"30,657"
28,South Korea,"30,644"
29,Puerto Rico,"30,113"
3,Ireland,"79,669"
30,"Bahamas, The","30,027"
31,Malta,"28,469"
32,Taiwan,"26,910"
33,Spain,"26,832"
34,Cyprus,"26,240"
35,Czech Republic,"25,039"
36,Brunei,"23,117"
37,Estonia,"22,986"
38,Bahrain,"22,878"
39,Slovenia,"22,627"
4,Norway,"67,989"
40,Kuwait,"22,252"
41,Portugal,"21,608"
42,Aruba,"20,310"
43,Lithuania,"19,883"
44,Saudi Arabia,"19,587"
45,Slovakia,"18,669"
46,Greece,"18,168"
47,Latvia,"17,230"
48,Trinidad and Tobago,"16,197"
49,Barbados,"16,082"
5,United States,"63,051"
50,Hungary,"15,373"
51,Uruguay,"15,332"
52,Poland,"15,304"
53,Saint Kitts and Nevis,"15,246"
54,Oman,"14,423"
55,Palau,"14,233"
56,Antigua and Barbuda,"14,159"
57,Panama,"14,090"
58,Croatia,"14,033"
59,Romania,"12,813"
6,Singapore,"58,484"
60,Chile,"12,612"
61,Maldives,"12,464"
62,Costa Rica,"12,323"
63,Seychelles,"11,629"
64,China,"10,839"
65,Malaysia,"10,192"
66,Russia,"9,972"
67,Bulgaria,"9,826"
68,Grenada,"9,824"
69,Saint Lucia,"9,780"
7,Denmark,"58,439"
70,Mauritius,"8,950"
71,Nauru,"8,867"
72,Kazakhstan,"8,782"
73,Turkmenistan,"8,433"
74,Argentina,"8,073"
75,Mexico,"8,069"
76,Montenegro,"7,933"
77,Turkey,"7,715"
78,Dominica,"7,709"
79,Dominican Republic,"7,507"
8,Iceland,"57,189"
80,Serbia,"7,497"
81,Thailand,"7,300"
82,Azerbaijan,"7,295"
83,Iran,"7,257"
84,Gabon,"7,185"
85,Equatorial Guinea,"7,131"
86,Saint Vincent and the Grenadines,"7,033"
87,Botswana,"6,558"
88,Brazil,"6,450"
89,Belarus,"6,134"
9,Qatar,"52,751"
90,North Macedonia,"6,019"
91,Peru,"5,845"
92,Guyana,"5,762"
93,Ecuador,"5,316"
94,Jamaica,"5,221"
95,Colombia,"5,207"
96,Tonga,"5,023"
97,Paraguay,"4,909"
98,Albania,"4,898"
99,South Africa,"4,736"
Rank,Country/Territory,US$
