Column2,Column3,Column4,Column5
Afghanistan,64.5,66.0,63.0
Angola,60.8,63.7,58.1
Azerbaijan,72.9,75.3,70.3
Bangladesh,72.3,74.3,70.6
Benin,61.5,63.0,59.9
Bhutan,71.5,71.8,71.1
Bolivia,71.2,74.2,68.4
Botswana,69.3,72.0,66.2
Burkina Faso,61.2,61.9,60.4
Burundi,61.2,63.0,59.4
Cabo Verde,72.8,76.0,69.3
Cambodia,69.6,71.6,67.3
Cameroon,58.9,60.2,57.7
Central African Republic,52.8,55.0,50.6
Chad,54.0,55.4,52.6
Comoros,64.1,65.9,62.4
"Congo, Democratic Republic of the",60.4,61.9,58.9
"Congo, Republic of",64.3,65.7,62.8
Country,Avg.,Women,Men
Cte d'Ivoire,57.4,58.7,56.3
Djibouti,66.6,68.8,64.6
Egypt,71.8,74.2,69.6
El Salvador,73.1,77.6,68.2
Equatorial Guinea,58.4,59.6,57.4
Eritrea,65.9,68.2,63.8
Eswatini,59.4,64.0,55.3
Ethiopia,66.2,68.2,64.4
Federated States of Micronesia,67.8,69.5,66.1
Fiji,67.3,69.2,65.6
Gabon,66.2,68.9,64.2
Gambia,61.7,63.2,60.4
Ghana,63.8,64.9,62.7
Grenada,72.4,74.9,70.1
Guinea,61.2,61.7,60.5
Guinea-bissau,58.0,59.9,56.0
Guyana,69.8,73.0,66.8
Haiti,63.7,65.8,61.5
India,69.4,70.7,68.2
Indonesia,71.5,73.7,69.4
Iraq,70.5,72.5,68.4
Kazakhstan,73.2,77.3,68.8
Kenya,63.3,68.7,64.0
Kiribati,68.1,72.1,64.0
Kyrgyzstan,71.3,75.5,67.3
Laos,67.6,69.4,65.8
Lesotho,53.7,57.0,50.6
Liberia,63.7,65.1,62.3
Libya,72.7,75.8,69.9
Madagascar,66.7,68.3,65.1
Malawi,63.8,66.9,60.7
Mali,58.9,59.6,58.1
Mauritania,64.7,66.3,63.1
Moldova,71.8,76.1,67.5
Mongolia,69.7,74.0,65.6
Mozambique,60.2,63.0,57.1
Myanmar,66.9,69.9,63.8
Namibia,63.4,66.2,60.4
Nepal,70.5,71.9,69.0
Niger,62.0,63.2,60.9
Nigeria,54.3,55.2,53.5
Pakistan,67.1,68.1,66.2
Papua New Guinea,64.3,65.6,63.0
Philippines,71.1,75.4,67.1
Russia,72.4,77.6,66.9
Rwanda,68.7,70.8,66.5
Samoa,73.2,75.3,71.2
Sao Tome and Principe,70.2,72.6,67.8
Senegal,67.7,69.6,65.5
Seychelles,73.3,77.3,69.8
Sierra Leone,54.3,55.1,53.5
Solomon Islands,72.8,74.7,71.2
South Africa,63.9,67.4,60.5
South Sudan,57.6,59.1,56.1
"St, Vincent and the Grenadines",72.4,75.0,70.2
Sudan,65.1,66.9,63.3
Suriname,71.6,74.9,68.4
Syria,71.8,77.8,66.6
Tajikistan,70.9,73.2,68.7
Tanzania,65.0,66.8,63.2
Timor Leste,69.3,71.4,67.3
Togo,60.8,61.6,59.9
Tonga,70.8,72.8,68.9
Trinidad and Tobago,73.4,76.1,70.8
Turkmenistan,68.1,71.6,64.6
Uganda,63.0,65.2,60.7
Ukraine,72.0,76.7,67.0
Uzbekistan,71.6,73.7,69.4
Vanuatu,70.3,72.0,68.8
Venezuela,72.1,76.1,68.4
World,72.6,74.9,70.4
Yemen,66.1,67.8,64.4
Zambia,63.5,66.4,60.5
Zimbabwe,61.2,62.6,59.5
